"San+Bruno,+CA",256
"Sacramento,+CA",254
"Allentown,+PA",254
"Livonia,+MI",253
"Burbank,+CA",252
"Minnetonka,+MN",249
"Fort+Collins,+CO",247
"Woburn,+MA",246
"Anchorage,+AK",245
"Brentwood,+TN",245
"Fort+Bragg,+NC",242
"Bridgewater,+NJ",240
"Mesa,+AZ",240
"Norcross,+GA",240
"Costa+Mesa,+CA",240
"Bothell,+WA",239
"Eagan,+MN",237
"Grand+Prairie,+TX",237
"Dublin,+OH",237
"Tallahassee,+FL",236
"Foster+City,+CA",235
"Waukesha,+WI",234
"Plymouth,+MI",233
"Lenexa,+KS",231
"West+Palm+Beach,+FL",231
"Bronx,+NY",229
Virginia,229
"Fort+Wayne,+IN",229
"Tysons+Corner,+VA",228
"Charlottesville,+VA",228
"Sioux+Falls,+SD",228
"Lehi,+UT",227
"Akron,+OH",225
"Warren,+MI",225
"Northbrook,+IL",224
"West+Chester,+PA",223
"Natick,+MA",223
Michigan,222
"Nashua,+NH",220
"Carlsbad,+CA",216
"Queens,+NY",216
"Culver+City,+CA",216
"Newport+News,+VA",215
New+Jersey,213
"Melville,+NY",212
"Greenbelt,+MD",212
"Emeryville,+CA",212
"Lake+Mary,+FL",211
"Manchester,+NH",210
"Naperville,+IL",210
"Mount+Laurel,+NJ",207
"Kansas+City,+KS",207
"Carmel,+IN",207
"Fargo,+ND",205
"Hoboken,+NJ",202
"Tacoma,+WA",202
"Springfield,+MA",199
"Oak+Brook,+IL",199
"Wilmington,+MA",198
"Newport+Beach,+CA",198
"Portland,+ME",197
"Orange,+CA",197
"Annapolis,+MD",197
"Brookfield,+WI",195
"Fort+Huachuca,+AZ",195
"Draper,+UT",194
"O'Fallon,+MO",193
Florida,192
"Hampton,+VA",192
"Lakewood,+CO",192
"Round+Rock,+TX",191
"Newark,+CA",191
"Glendale,+CA",191
"Chesterfield,+MO",190
"Florham+Park,+NJ",189
"Woodland+Hills,+CA",189
"Renton,+WA",188
"Quantico,+VA",188
"Marietta,+GA",187
"Horsham,+PA",186
"Linthicum,+MD",186
"Lewisville,+TX",185
"Deerfield,+IL",185
"Berkeley,+CA",185
"Lowell,+MA",184
"Needham,+MA",182
"Wright-Patterson+AFB,+OH",182
"Quincy,+MA",181
"Fayetteville,+NC",180
"Gainesville,+FL",180
"Exton,+PA",178
"Chapel+Hill,+NC",175
"Gilbert,+AZ",175
Texas,173
"San+Juan,+PR",173
"Frisco,+TX",173
"York,+PA",170
New+York+State,169
"Cupertino,+CA",169
"Spokane,+WA",169
"McKinney,+TX",168
"Portsmouth,+NH",168
"Windsor,+CT",167
"Cherry+Hill,+NJ",166
"Plymouth+Meeting,+PA",166
"Olathe,+KS",164
"Billerica,+MA",164
"Wayne,+PA",164
"Chesapeake,+VA",163
"Los+Alamos,+NM",162
"Mason,+OH",162
