"Centennial, CO",228
"Reston, VA 20191",227
"Washington, DC 20005 (Logan Circle area)",227
"Virginia Beach, VA",226
"McLean, VA 22107",225
"Austin, TX 78701 (Downtown area)",225
"Atlanta, GA 30328",224
"Tulsa, OK",223
Michigan,222
"Southfield, MI",222
"Lansing, MI",221
"Eden Prairie, MN 55344",221
"Cambridge, MA 02142 (East Cambridge area)",220
"Pensacola, FL",220
"Wichita, KS",220
"Greenville, SC",218
"Austin, TX 78759 (Arboretum area)",218
"Charlotte, NC 28202 (Downtown Charlotte area)",217
"Aberdeen, MD",216
"Queens, NY",216
"King of Prussia, PA 19406",215
"Kent, WA",214
"Mountain View, CA 94043",213
"New York, NY 10010 (Gramercy area)",213
"Foster City, CA",213
New Jersey,213
"Malvern, PA",212
"Plymouth, MN",212
"Aberdeen Proving Ground, MD",211
"South San Francisco, CA",211
"Little Rock, AR",211
"Kirkland, WA",211
"Harrisburg, PA",211
"Chattanooga, TN",210
"Parsippany, NJ",210
"Anaheim, CA",207
"New York, NY 10036",206
"Laurel, MD 20708",206
"Vancouver, WA",202
"Lexington, MA 02421",202
"Melbourne, FL",201
"Patuxent River, MD",201
"Silver Spring, MD",200
"Seattle, WA 98109 (Westlake area)",200
"Torrance, CA",196
"Edison, NJ",194
"Tampa, FL 33646 (Downtown area)",192
Florida,192
"Tysons Corner, VA",192
"Providence, RI",191
"Boston, MA 02109 (Central area)",190
"Milpitas, CA 95035",190
"San Ramon, CA",189
"Reno, NV",189
"New York, NY 10261 (Murray Hill area)",188
"Jersey City, NJ 07310 (Downtown area)",187
"San Bruno, CA 94066",187
"Burbank, CA",185
"Atlanta, GA 30301 (Buckhead area)",185
"Lexington, KY",185
"Fort Bragg, NC",184
"Washington, DC 20036 (Downtown area)",183
"Anchorage, AK",183
"New York, NY 10282 (Tribeca area)",182
"Bridgewater, NJ",182
"Charlotte, NC 28255 (Wilmore area)",181
"Boca Raton, FL",181
"Duluth, GA",181
"El Paso, TX",178
"Princeton, NJ 08540",177
"Columbus, OH 43215 (Downtown area)",176
"Arlington, TX",176
"Marlborough, MA 01752",175
"Portland, OR 97204 (Downtown area)",175
"Newport News, VA",174
"Austin, TX 78731",174
"Austin, TX 78746",174
"Worcester, MA",173
"Greensboro, NC",173
Texas,173
"Natick, MA 01760",173
"Deerfield, IL",172
"West Chester, PA",172
"Needham, MA",170
"Framingham, MA 01701",170
New York State,169
"Lakewood, CO",168
"Mesa, AZ",168
"Brentwood, TN",167
"Burlington, MA 01803",167
"Franklin, TN",167
"Menlo Park, CA 94025",165
"Lenexa, KS",165
"Sterling, VA",165
"San Diego, CA 92108",164
"Sacramento, CA",164
"Ashburn, VA",163
"Warren, MI",163
"Charlottesville, VA",162
"O'Fallon, MO",162
"Kansas City, KS",162
Illinois,161
"Fort Collins, CO",160
"Atlanta, GA 30309 (Midtown area)",160
Ohio,160
"Schaumburg, IL",160
"Boston, MA 02111 (Central area)",159
"San Jose, CA 95113 (Downtown area)",159
"Huntsville, AL 35805",159
"Long Beach, CA",158
"Addison, TX",158
"Santa Ana, CA",157
"Wright-Patterson AFB, OH",157
"Fort Huachuca, AZ",157
"Marlborough, MA",156
"Malvern, PA 19355",155
"Englewood, CO",155
"Hoboken, NJ",155
"Quantico, VA",154
"Bothell, WA",154
"Morrisville, NC 27560",154
"Eagan, MN",153
"Akron, OH",153
"Chicago, IL 60290 (Loop area)",152
"Pittsburgh, PA 15289 (Central Business District area)",151
"Los Alamos, NM",151
"Washington, DC 20003 (Capitol Hill area)",150
"San Jose, CA 95134 (North San Jose area)",150
"San Juan, PR",150
"Alexandria, VA 22314 (Southwest Quadrant area)",149
"New York, NY 10004 (Financial District area)",149
"Dearborn, MI",149
"Jacksonville, FL 32256",149
"Brooklyn Park, MN",149
"Minneapolis, MN 55402 (Downtown West area)",149
"Lexington Park, MD 20653",149
"Orange, CA",149
"Framingham, MA",147
"New York, NY 10007 (Financial District area)",147
"New York, NY 10022 (Midtown area)",147
"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",147
"Houston, TX 77056 (Galleria-Uptown area)",145
"Houston, TX 77042 (West Houston area)",145
"Cedar Rapids, IA 52402",145
"Clearwater, FL",145
United States,144
