_id,cleaned_job_title
e729c31ce4134814,big data software engineer
7212302296d5b8b7,big data engineer consultant
5248dc935ad0acf8,big data engineer
695f959f26584b76,big data engineer admin
b4e7597a2593e03a,big data
2862c6f63c01ee9f,python engineer big data
04050e417e72e2f6,big data developer aws
a74604ed6cfe07e8,big data
cfd4011ee3ba1043,aws big data engineer
4a2640286fe5eaf5,associate big data specialist
168133e2f536073f,aws big data engineer
8cf3087da2e3e0c4,big data systems
51ac76bd8c15345c,big data cloud engineer
4233bf4938a530a0,associate big data software engineer
bf67b58bf9049901,azure big data engineer
30b275f387e4fb8d,associate big data software engineer
be48befd7904fb20,big data architect
e429f26d3967ac2b,big data platform engineer
63a9bfad048ead35,principal big data software engineer
e2756cf1f45a83cc,big data engineer
c2115b724ffdcd36,associate big data software engineer
ef313139aeac1184,big data infrastructure software engineer
21e7f80070008bb7,lead big data engineer
f909ed2366a4e225,big data developer
64e556baaec4a12c,big data engineer consultant
afda33ef5fd4e3a9,principal big data engineer
130c39bd7b3f1636,software engineer big data platform
8a636eacc0205e36,aws big data engineer
61828867e8709314,aws big data engineer
4e3dcc95a0504932,big data engineer
dad5dfaf38573c3c,azure big data engineer
a399f6e1dd07676a,big data developer
6a5b42dee4d1eb56,aws big data engineer
c9bcd7d4a0155c00,aws big data engineer
a9d725ef61a97c2c,big data engineer
12f2564800cb48c2,associate big data software engineer
57f309e830a30e73,big data engineering lead
2daad4de0db4bdc9,big data software engineer
d428ba32b06eac58,azure big data engineer
a54e04cfdabe277e,big data engineer
88009189bc6cf17c,big data specialist
6db67b4c253e2871,big data engineer
31298a74fca3772b,big data software engineer
f13c89e8b0938841,big data engineer
f3716dffbedda160,big data engineer
67e8f77dc8e971f8,associate big data software engineer
fff044a5be596fb6,team lead big data engineer
f77490bbd212abd5,team lead big data engineer
051c535c41fab75b,big data engineer
58079020a395eadc,big data software engineer
69c90afe96270084,software engineer big data spark
cc3e2477557f7323,team lead big data engineer
9552fbd38a5f88a8,big data software engineer
b520875633485f9f,hadoop big data engineer
448b2ad6f754e5d8,big data engineer
0dfd1c21861fa0a8,big data engineer
db09998906330ee4,principal software developer big data
f21a9e569588d797,big data engineer ml platform
01d8028e9beeb61e,big data software engineer
5e720f78869be39d,big data engineer
47c9bbd9f44d4b96,big data software engineer
1f7532aae4d38361,big data engineer consultant
6793df0340695ae8,big data engineer
0867c8303aac8d5c,big data frameworks engineer
36395eb902ad2ab5,principal big data software engineer
8aaa3e633ab0a0c4,manager big data software development
4f16fd02a0a0ef79,manager big data software engineer
52fc54e461c49352,big data architect
8130ae28d01c98b6,real time data distribution engineer
6e2e46c5cc19e136,big data engineer
92efb40c5732606a,principal big data engineer
6d539b3a752411af,big data ba
bd8760f8f9dbb0a8,aws big data engineer
8c365942d3471c44,big data
298d7e2ae2967000,big data engineer
687250e9aab62f99,software engineer big data
f80e1bdf7a4a38b2,big data architect
b6a717034892668b,big data architect engineer
a6f7e5cb24f92f0c,big data engineer
219874a61248d17b,big data practice manager
10c99fc2aebddf4c,big data engineer
b51ea0e878f4313a,big data software engineer federal
229bf791a1bc2c54,big data developer
632d12fd2de20970,team lead big data engineer
9612c611770fd4ac,data architect big data
2e6844df4bf80bb3,big data developer
e92c15851210fc78,big data
337bacde1cf54d3e,big data software programmer
541727f02d7ddf0d,lead big data engineer
ff80b886211384de,big data developer
06d8c2e5f9b14072,big data architect psjh
43d63c47c420a5ae,big data developer
d2b3c200ad1b9fea,associate big data software engineer
a2f23b0d60df5b3a,associate big data software engineer
45d4115bda0e57eb,big data developer
88bf3354c000856a,software development engineer big data
9fc4bedb1cffcdf5,lead big data software engineer
c89f0742219d2a33,engineer big data
