_id,cleaned_job_title
00b132fa790d0393,java development team lead
0cdc14d60622971e,technology lead
3ed4e97824dffb35,director market practice lead
3419bff7863a2c58,production support lead
35c9ec959e978331,aem development lead
a1b33e85133de1b3,java t development lead
5f26b3c952dfa180,lead ip counsel
c946d7cb7683e1d0,enterprise applications lead
568358334c5574a9,cybersecurity assessment lead
802faf106a586559,sdwan operations lead
5fa434c228b60b29,development manager technical lead
4a27d4b9d379035f,project lead ase
6d61cbfa000a45d7,salesforce lightning technical lead
1a6b4fb88f98e645,mobile technical lead
d3e243270863cd99,release deployment lead
03c25c5674f4be23,software development team lead
41035f9084180727,critical incident engagement lead
0820f574a32dd455,bigdata aster lead
3c05d5f0d4164eec,trans specialist lead
32bdfe3d738d8214,lead product tester
518f788dee14b452,technical lead net web
8258221e73277a19,javascript team lead
fa99e91fa4141430,technology lead mdm
cc7503f7538b6de2,operations lead
e1fb6bcdfd0cb061,cloud support team lead
258372bd5def34e0,paid media team lead
e6a69f53a643eec1,project lead
0d9d28240f47ea1e,ecommerce technical lead
4db00d77449670ae,enterprise search technician lead
9b635c30111a453c,ecommerce operations lead
96fac0daa75dbb0a,team lead
c1c55107c3b92324,robotics software team lead
984c150004e65353,network control lead
7b2708489e8b1be7,lead generation
d2ea334ad46026d5,umbilical package lead
4e2745873575b419,bmds event lead
1945134bc435e35d,tech lead
66a5f6654ba9214f,innovation lead
8ea33cc64a0fe78f,test lead
12d619b296af0918,ui development lead
057580fbdbab2627,tech lead
2c47978afce245ff,technical team lead
57768213c313c22f,lead generation
f8b9aa0fd55b1af9,sustaining lead cortext
856e00f96e983d71,team lead software development
9bcb8941bd9e7f3e,project lead
0ff25614a935790c,full stack team lead
a4e82632a22fc433,software development lead
c8d9222e77d0f19c,software development lead
dada2ee280b3e0c6,team lead
883a96f11a53fbb0,lead user researcher
1cb2620e8d76da59,peoplesoft lead benefit admin
70525b97fbcd2df6,salesforce technical lead
cf5b5e8bf7c7dca2,team lead std integration
7ba6637a93afc256,team lead software development
d5796024f7a28416,web engineering lead
fcc99364c19e3e3e,team lead software development
8f60b8c24af32fd1,application support lead vp
8f7047874c8aa0ee,payments lead
447dd5591d8d7b5f,lead trans roc
71ac54094ead2b3c,team lead software development
40d48c3fd9ccdd54,sap bpc development lead
